가맹점 명,주소,데이터기준일자,위도,경도
크로커다일,부산 부산진구 부전1동,2026-04-24,35.16350647,129.0630056
세광당안경,부산 중구 창선동2가,2026-04-24,35.09952532,129.0283163
대정양곱창신관,부산 중구 중구로23번길 32-1,2026-04-24,35.10016094,129.0261173
LG포토,부산 중구 남포길 9,2026-04-24,35.09897368,129.0298258
골목손칼국수,부산 서구 대영로45번길 98,2026-04-24,35.1136161,129.0143452
명보석,부산 사상구  새벽시장로103번길,2026-04-24,35.15572272,128.9854048
080안경점(광안점),부산 수영구 광남로 197,2026-04-24,35.15837131,129.1204264
다미초밥,부산 동래구  금강로 122 (온천동),2026-04-24,35.21962066,129.0802637
영남인삼,부산 부산진구 중앙대로783번길 23,2026-04-24,35.16323429,129.0609058
유정인삼사,부산 부산진구 중앙대로783번길 23,2026-04-24,35.16323429,129.0609058
보경당,부산 해운대구 중동1로 24,2026-04-24,35.16310037,129.1620222
초읍TV전파사,부산 부산진구 초읍천로 62,2026-04-24,35.17793006,129.0470144
해송갈비,부산 해운대구 중동1로 32-1,2026-04-24,35.16238161,129.1627442
서승도치과,부산 영도구 청학로 91,2026-04-24,35.09634522,129.0610683
에모숑,부산 부산진구 성지로 87,2026-04-24,35.17822969,129.0532522
삼익조명,부산 수영구 남천동로 78,2026-04-24,35.14363509,129.1137376
부산안경원,부산 북구 금곡대로616번길 118,2026-04-24,35.26579874,129.0173234
청도횟집,부산 수영구 민락수변로7번길 19,2026-04-24,35.15559064,129.1245342
박숙희의상실,부산 동구 진시장로 19-7,2026-04-24,35.13753996,129.0589298
미지트남산대리점,부산 금정구 금강로 549,2026-04-24,35.25642581,129.0875697
국일안경,부산 중구 국제시장2길 25,2026-04-24,35.10154027,129.0283106
베티,부산 수영구 수영로 466,2026-04-24,35.14740734,129.1105635
동경초밥,부산 서구 서대신동2가,2026-04-24,35.10912313,129.0098013
금산인삼센타,부산 사하구 괴정동,2026-04-24,35.10370021,128.9950528
거산밧데리,부산 수영구 무학로 18,2026-04-24,35.16156653,129.1157996
항도반점,부산 동래구 온천장로 125,2026-04-24,35.22187364,129.0847873
