연번,쉼터명,상세주소,경도,위도
53,KT 에스엠커뮤니케이션(주) 수영2호점,수영구 연수로 415 세방한의원 1층 (수영동),129.114618710889,35.168061649565
54,KT (주)알파모바일 대연점,남구 수영로208번길 54 1층 (대연동),129.088188035093,35.1336231934475
55,KT (주)대성정공 안락점,동래구 안락로 20-1 1층 (안락동),129.099253353708,35.2005633636948
56,KT (주)대성정공 대연점,남구 못골로 69-1 1층 (대연동),129.090042016672,35.1360857196992
57,KT (주)더블유 경성대점,"남구 용소로 8 1층 KT대리점 (대연동, 대영빌딩)",129.100218263284,35.1364961877031
58,KT 한성 수안점,동래구 명륜로94번길 24 1층 KT대리점 (수안동),129.084018271811,35.2034058217774
59,KT 폰드림 부전점,부산진구 중앙대로 765-1 (부전동),129.061199798032,35.1607621788909
60,KT 폰드림 학장점,"사상구 대동로 94 상가동 1층 109호 (학장동, 학장반도보라타운)",128.978314465356,35.1379335842552
61,KT M&S정관로직영점,기장군 정관읍 정관로 560 1동 110호 (마치빌딩),129.175090089593,35.3213484699308
62,KT M&S구서역직영점,금정구 구서로 10 1층 (구서동),129.090123579013,35.2468672471853
63,KT M&S해운대역직영점,"해운대구 해운대로 601 107-2호 (우동, 에이치스위트해운대)",129.15734405351594,35.163008799874035
64,KT M&S전포카페거리직영점,부산진구 동천로 74 본죽건물 1층 (전포동),129.062529883987,35.1552693916682
65,KT M&S사직종합운동장직영점,"연제구 아시아드대로 91 (거제동, 대방빌딩)",129.066645930848,35.1927194191523
66,KT M&S해운대장산역직영점,"해운대구 해운대로 814 1479-3 156호 (좌동, 세종월드프라자)",129.17720958835807,35.16968573144588
67,KT 올레플라자 동래점,동래구 명륜로 116(명륜동) kt 동래지점 1층 KT플라자 동래점,129.08297763432884,35.20404904445387
68,KT 올레플라자 남부산점,동구 부산진성공원로 23 1층 KT플라자 남부산점,129.062430383873,35.1377085882932
69,KT 올레플라자 동부산점,연제구 연산동 840-4 kt 동부산지점 1층 kt플라자 동부산점,129.080038935916,35.1737722285125
70,KT 올레플라자 기장점,기장군 기장읍 차성로 269 kt 기장지점 1층 KT플라자 기장점,129.212773863174,35.2416091127798
71,KT 나래 엄궁사거리점,"사상구 낙동대로 786 1층 102호 강진빌딩 (엄궁동, 애진빌딩)",128.97208647161,35.1307294330976
72,KT 나래 덕포점,사상구 사상로 292 (덕포동),128.982983177252,35.1707060561485
73,KT 나래 엄궁점,사상구 낙동대로 748 1층 KT (엄궁동),128.96982961968,35.1278847974016
74,KT 성우 대교점,영도구 태종로89번길 1 (대교동2가),129.040688799131,35.092012348919
75,KT 효원정보 하단점,사하구 낙동대로 547 (하단동),128.963970141423,35.1125428038142
76,KT 신화 부민점,서구 구덕로 199 (부민동2가),129.019701871327,35.102451663548
77,KT SA 수정점,"동구 중앙대로371번길 9 1층 KT대리점 (수정동, 흥남빌딩)",129.047828529391,35.1288442505515
78,KT SA 다대점,사하구 다대로429번길 15 1층 KT대리점 (다대동),128.980735869696,35.0637412190907
79,KT SA 화명점,북구 금곡대로 287 삼한골든뷰 1층 108호 KT대리점 (화명동),129.013306653337,35.23418326751
80,KT SA 하단2호점,사하구 낙동남로 1403 (하단동),128.965205212191,35.1065905416161
81,KT SA 하단점,사하구 낙동대로 442 1층 일부 (당리동),128.97032633103,35.1049163441392
82,KT 에스엠 사직점,동래구 사직북로19번길 3 1층 (사직동),129.06034041684,35.1974383962888
83,KT 에스엠 영도점,영도구 태종로 106 1층 (대교동2가),129.04218784578,35.0910766444767
84,KT 에스엠 수영점,"수영구 수영로705번길 1 1층 (수영동, 대원빌딩)",129.116407293427,35.1680064306079
85,KT 에스엠 영도2호점,영도구 남항로 41 1층 (남항동1가),129.040910072897,35.0887533103951
86,KT 씨엘 기장점,기장군 기장읍 차성동로 73,129.216364047083,35.2441782646914
87,KT 씨엘 괴정점,사하구 사하로 197 (괴정동),128.993276626165,35.0993327465725
88,KT 씨엘 서면점,부산진구 가야대로784번길 36 (부전동),129.057149744365,35.15579174397
89,KT 씨엘 좌동점,"해운대구 세실로 64 1층 105호 (좌동, 화목데파트)",129.177645145361,35.1709976142769
90,KT 씨엘 두실점,금정구 중앙대로 1943 (구서동),129.0910839833,35.2578775869224
91,KT 씨엘 용호점,남구 동명로 139 씨엘 용호점 (용호동),129.112295349926,35.1197172740946
92,KT 씨엘 젊음의거리점,"북구 백양대로 1200 403-2 (덕천동, 정수빌딩)",129.006423007577,35.2098760732485
93,KT 씨엘 당감점,부산진구 동평로 86 (당감동),129.038947652794,35.1652377382487
94,KT 씨엘 만덕점,북구 덕천로 306 102호 (만덕동),129.037310085335,35.209282137425
95,KT AG컴퍼니 다대포점,사하구 다송로 23 상가 116호 KT매장 (다대동),128.982821920306,35.0660759887624
96,KT 참솔컴퍼니 동삼점,영도구 동삼로 63 (동삼동),129.070180842057,35.0788960183366
97,KT 참솔컴퍼니 신평점,사하구 하신번영로 197-1 1층 일부 (신평동),128.958664927516,35.0988072413748
98,KT 참솔컴퍼니 초량점,동구 중앙대로231번길 34 1층 KT (초량동),129.039416309016,35.1185178863112
99,KT 더킹 남포2호점,중구 광복로 35-1 (창선동2가),129.029066969735,35.0994382308228
100,KT 더킹 남포3호점,중구 광복로 47-1 1층 (창선동1가),129.030326995486,35.0993766658515
101,KT 더킹 하단2호점,사하구 낙동대로 449 1층 일부 (하단동),128.969316994787,35.10500691761
102,KT 더킹 부평점,중구 흑교로 24-1 1층 일부 (부평동2가),129.025340510129,35.1016841126534
