servList__estbDate,servList__faclInfId,servList__faclLat,servList__faclLng,servList__faclNm,servList__faclTyCd,servList__lcMnad,servList__salStaDivCd,servList__salStaNm,servList__wfcltDivCd,servList__wfcltId
20060222,20155827049,35.22465533,129.1465203,미소요양병원,병원·치과병원·한방병원·정신병원·요양병원,부산광역시 해운대구 아랫반송로6번길 37,Y,영업,17,2635010100-1-07440073
20090911,20155827050,35.22446987,129.1465104,의원·치과의원·한의원·조산소·산후조리원,의원·치과의원·한의원·조산소·산후조리원,부산광역시 해운대구 아랫반송로6번길 45,Y,영업,17,2635010100-1-07440087
20061218,20155827054,35.2205016,129.1532726,안심요양시설,노인복지시설,부산광역시 해운대구 아랫반송로89번길 8,Y,영업,17,2635010100-1-02502253
20080408,20155827055,35.17247917,129.174276,우리재활의학과,주차장,부산광역시 해운대구 양운로 104,Y,영업,17,2635010700-1-09850000
20010910,20155827056,0,0,그린피그갈비,일반음식점,부산광역시 해운대구 양운로 108,Y,영업,17,2635010700-1-09850002
20140310,20155827283,0,0,남자마늘보쌈,휴게음식점·제과점,부산광역시 해운대구 양운로 110,Y,영업,17,2635010700-1-09860000
20040924,20155827284,35.17284689,129.1737912,이가자,수퍼마켓·일용품 등의 소매점,부산광역시 해운대구 양운로 112,Y,영업,17,2635010700-1-09890000
20021020,20155827285,35.17303573,129.1735971,무신민물장어,일반음식점,부산광역시 해운대구 양운로 116,Y,영업,17,2635010700-1-09900000
20020221,20155827289,35.17347039,129.1726108,만서리이가네막국수,일반음식점,부산광역시 해운대구 양운로 123,Y,영업,17,2635010700-1-08560000
20010508,20155827290,35.1738464,129.172874,하나돈까스,일반음식점,부산광역시 해운대구 양운로 126,Y,영업,17,2635010700-1-08660000
20080812,20155827291,35.17794562,129.168907,해운대 도서관,도서관,부산광역시 해운대구 양운로 183,Y,영업,17,2635010700-1-13850000
19980916,20155827295,0,0,좌2치안센터,"파출소, 지구대",부산광역시 해운대구 양운로 39,Y,영업,17,2635010700-1-14760005
20061228,20155827296,35.16723693,129.1777739,봉황빌딩,수퍼마켓·일용품 등의 소매점,부산광역시 해운대구 양운로 40,Y,영업,17,2635010700-3-14860001
20020516,20155827297,35.16700448,129.1770297,천년사랑오피스텔,금융업소 등 일반업무시설,부산광역시 해운대구 양운로 41,Y,영업,17,2635010700-3-14760006
20120328,20155827525,35.16737569,129.1767774,해운대 베르나움,금융업소 등 일반업무시설,부산광역시 해운대구 양운로 45,Y,영업,17,2635010700-3-14760001
20080404,20155827526,0,0,FnC 코오롱 해운대 매장,주차장,부산광역시 해운대구 양운로 52,Y,영업,17,2635010700-1-14780002
20121102,20155827527,35.16789553,129.1764128,투모로우 오피스텔,금융업소 등 일반업무시설,부산광역시 해운대구 양운로 53,Y,영업,17,2635010700-3-14750002
20020417,20155827531,35.16817927,129.1762237,해운대두산위브센티움,금융업소 등 일반업무시설,부산광역시 해운대구 양운로 55,Y,영업,17,2635010700-3-14750001
20020619,20155827532,35.16845446,129.1769416,영광정공(주),금융업소 등 일반업무시설,부산광역시 해운대구 양운로 56,Y,영업,17,2635010700-3-14780001
20020305,20155827533,35.16851335,129.1759615,경동윈츠타워오피스텔,금융업소 등 일반업무시설,부산광역시 해운대구 양운로 59,Y,영업,17,2635010700-3-14730006
20020518,20155827762,35.17100537,129.1752036,해운대 쌍용 플래티넘트윈,금융업소 등 일반업무시설,부산광역시 해운대구 양운로 88,Y,영업,17,2635010700-3-14600002
20060913,20155827763,35.17125431,129.1750204,나하나빌딩,노인복지시설,부산광역시 해운대구 양운로 92,Y,영업,17,2635010700-1-14600001
20050701,20155827767,35.17163722,129.1748288,대하프라자,의원·치과의원·한의원·조산소·산후조리원,부산광역시 해운대구 양운로 98,Y,영업,17,2635010700-3-14610004
20180503,20155827768,35.1641127,129.1786594,해운대구보건소,국가 또는 지자체 청사,부산광역시 해운대구 양운로37번길 59,Y,영업,17,2635010700-1-13390000
20110405,20155827769,35.16786582,129.1773736,더퍼스트,금융업소 등 일반업무시설,부산광역시 해운대구 양운로42번길 11,Y,영업,17,2635010700-3-14770001
20020907,20155827773,35.16798997,129.177856,가람프라자,일반음식점,부산광역시 해운대구 양운로42번길 12,Y,영업,17,2635010700-3-14820002
20020419,20155827774,35.16810553,129.1777742,지오프라자 Ⅱ,"교육원(연수원등)·직업훈련소·학원(자동차학원, 무도학원 제외) 등",부산광역시 해운대구 양운로42번길 14,Y,영업,17,2635010700-3-14820001
20030620,20155827775,35.16832694,129.1776238,스타빌딩,일반음식점,부산광역시 해운대구 양운로42번길 16,Y,영업,17,2635010700-3-14800004
20171115,20155828003,35.16850324,129.1775015,에이원웨이,일반음식점,부산광역시 해운대구 양운로42번길 18,Y,영업,17,2635010700-3-14800002
20000331,20155828004,35.16867614,129.1773825,조일프라자,"교육원(연수원등)·직업훈련소·학원(자동차학원, 무도학원 제외) 등",부산광역시 해운대구 양운로42번길 20,Y,영업,17,2635010700-3-14800001
20100518,20155828005,35.1673909,129.1781212,좌동새삶빌딩,종교집회장,부산광역시 해운대구 양운로42번길 6,Y,영업,17,2635010700-1-14860003
20000308,20155828009,35.17080433,129.1759205,명정빌딩,주차장,부산광역시 해운대구 양운로80번길 10,Y,영업,17,2635010700-1-14640003
20150227,20155828010,35.17125999,129.1756122,유니스빌딩,일반음식점,부산광역시 해운대구 양운로80번길 16,Y,영업,17,2635010700-1-14620003
20091019,20155828011,35.17152716,129.1754321,명문프라자,일반음식점,부산광역시 해운대구 양운로80번길 20,Y,영업,17,2635010700-1-14620001
20020105,20155828240,35.17066476,129.1760147,리더스타워,주차장,부산광역시 해운대구 양운로80번길 8,Y,영업,17,2635010700-1-14640004
20080922,20155828241,35.17070318,129.1552096,해운대 중앙교회,종교집회장,부산광역시 해운대구 우동1로 119,Y,영업,17,2635010500-1-03410000
20101105,20155828242,0,0,블루마린,다세대주택,부산광역시 해운대구 우동1로 17,Y,영업,17,2635010500-3-04970002
20110523,20155828246,0,0,다세대주택,다세대주택,부산광역시 해운대구 우동1로 45-7,Y,영업,17,2635010500-3-04900005
20020402,20155828247,35.16230251,129.155531,삼영일리아,아파트,부산광역시 해운대구 우동1로 5,Y,영업,17,2635010500-3-06400002
20010824,20155828248,0,0,매직텔,다세대주택,부산광역시 해운대구 우동1로20번가길 52-40,Y,영업,17,2635010500-3-04380002
20160411,20155828252,35.16469518,129.1579114,동신,일반음식점,부산광역시 해운대구 우동1로20번길 27-10,Y,영업,17,2635010500-1-05140002
20020415,20155828253,35.16373529,129.156834,신춘하나빌,아파트,부산광역시 해운대구 우동1로20번길 3,Y,영업,17,2635010500-3-05060001
20210112,20155828254,35.16503354,129.1591561,윤슬,일반음식점,부산광역시 해운대구 우동1로20번길 53,Y,영업,17,2635010500-1-05570005
20000529,20155828483,35.16517708,129.1593334,국황하루,일반음식점,부산광역시 해운대구 우동1로20번길 57,Y,영업,17,2635010500-1-05580006
20110527,20155828484,0,0,티파니,다세대주택,부산광역시 해운대구 우동1로38번길 10,Y,영업,17,2635010500-3-05170001
20150107,20155828485,35.1652851,129.1577932,해운대중앙새마을금고본점,금융업소 등 일반업무시설,부산광역시 해운대구 우동1로38번길 7,Y,영업,17,2635010500-1-05200063
20020722,20155828489,35.16805143,129.1535665,해운대여자중학교,중학교,부산광역시 해운대구 우동1로85번길 25,Y,영업,17,2635010500-1-09080000
20040109,20155828490,35.16814092,129.1546145,파라곤빌라,다세대주택,부산광역시 해운대구 우동1로85번길 33,Y,영업,17,2635010500-3-03700000
