연번,쉼터명,주소,경도,위도
79,충무동주민센터,부산광역시 서구 구덕로148번길 16,129.021637,35.098074
80,남일경로당,부산광역시 서구 천마로 176,129.0228716,35.091262
81,천마경로당,부산광역시 서구 해돋이로 156,129.0199479,35.0916702
82,남부민1동주민센터,부산광역시 서구 충무대로255번길 5-26 ,129.0233034,35.0927522
83,샛디체력단련장,부산광역시 서구 해돋이로 59,129.019595,35.084686
84,부암경로당,부산광역시 서구 천해로34번길 1,129.015871,35.084388
85,상조경로당,부산광역시 서구 해돋이로 55,129.019324,35.08435
86,남부민2동주민센터,부산광역시 서구 천마로 87,129.020528,35.084485
87,서구노인복지관,부산광역시 서구 장군산로46번길 21,129.014312,35.073125
88,정림경로당,부산광역시 서구 감천로 271,129.0174401,35.0805512
89,사랑쉼표,부산광역시 서구 천마로 25,129.0203,35.0806
90,암남동주민센터,부산광역시 서구 충무대로 83,129.0207714,35.0798598
91,초량1동행정복지센터,부산광역시 동구 중앙대로179번길 33,129.0369639,35.1139519
92,초량2동행정복지센터,부산광역시 동구 중앙대로209번길 30,129.038482,35.1165014
93,이바구공작소,부산광역시 동구 망양로486번길 14-13 ,129.033836,35.117111
94,장기려박사더나눔,부산광역시 동구 영초윗길 48,129.032701,35.118499
95,초량3동행정복지센터,부산광역시 동구 초량상로 112,129.039858,35.1214004
96,이바구캠프도시민박촌(1층),부산광역시 동구 망양로533번길 30-8 ,129.0285954,35.1190464
97,초량6동행정복지센터(2층),부산광역시 동구 초량로 75,129.0344533,35.1200183
98,팔남매의단칸방,부산광역시 동구 망양로533번길 39,129.028573,35.118273
99,유치환의우체통(2층),부산광역시 동구 망양로580번길 2,129.033822,35.122087
100,동구노인복지관분관,부산광역시 동구 초량남로 12,129.0348449,35.1195839
101,수정1동행정복지센터,부산광역시 동구 홍곡로 71,129.042221,35.1253997
102,동구노인종합복지관,부산광역시 동구 홍곡중로5번길 24,129.0404078,35.1257771
103,수정2동행정복지센터,부산광역시 동구 수정중로11번길 23,129.042618,35.1299627
104,수정애마을,부산광역시 동구 망양로756번길 38,129.0418106,35.1304584
105,수정4동행정복지센터,부산광역시 동구 망양로685번길 2,129.0406787,35.1270889
106,수정5동행정복지센터,부산광역시 동구 망양로795번길 2,129.04237,35.133864
107,수정골마실,부산광역시 동구 수성로41번길 12,129.0437713,35.135723
108,동구어린이영어도서관,부산광역시 동구 수성로 21,129.0419582,35.134613
109,좌천동행정복지센터,부산광역시 동구 좌천남로 19,129.04916,35.131334
110,부산포개항문화관,부산광역시 동구 증산로 100,129.052932,35.135641
111,가마뫼나들목,부산광역시 동구 증산로 74,129.0513847,35.1337825
112,좌천생활문화센터,부산광역시 동구 증산서로 18-1 ,129.0486127,35.1361507
